Country;Technology;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Austria;Solar photovoltaic;5,000;7,000;9,000;23,000;27,000;21,018;22,387;24,238;30,120;48,915;88,813;174,070;337,483;625,974;785,246;937,098;1096,016;1268,971;1455,132;1702,093
Belgium;Solar photovoltaic;0,000;0,000;1,000;1,000;1,000;2,000;2,000;20,000;62,000;386,000;1006,600;1978,600;2646,600;2901,600;3015,000;3131,600;3328,800;3620,600;4000,000;4636,600
Bulgaria;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,030;0,100;2,000;25,000;154,000;921,987;1038,535;1028,917;1027,888;1029,885;1030,701;1033,058;1044,390
Croatia;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,300;0,300;0,300;4,000;19,000;33,000;47,800;55,800;60,000;67,700;84,800
Cyprus;Solar photovoltaic;0,000;0,000;0,000;0,000;1,000;1,000;1,000;1,000;2,000;4,000;7,000;10,000;17,000;35,000;64,000;76,000;84,000;110,046;118,479;151,261
Czechia;Solar photovoltaic;0,100;0,100;0,200;0,300;0,400;0,586;0,841;3,961;39,500;464,600;1727,000;1913,000;2022,000;2063,500;2067,400;2074,900;2067,900;2075,438;2081,052;2110,669
Denmark;Solar photovoltaic;1,000;1,000;2,000;2,000;2,000;3,000;3,000;3,000;3,000;5,000;7,000;17,000;402,000;571,000;607,000;782,108;850,953;906,350;998,000;1080,000
Estonia;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,100;0,100;0,200;0,380;1,500;3,340;6,500;10,000;15,000;31,900;120,600
Finland;Solar photovoltaic;2,000;3,000;3,000;3,000;4,000;4,000;5,000;5,000;6,000;6,000;7,000;7,000;8,000;9,000;11,000;17,000;39,000;82,000;140,000;222,000
France;Solar photovoltaic;7,000;7,000;8,000;9,000;11,000;13,000;15,000;26,000;80,000;277,000;1044,000;3003,574;4358,754;5277,289;6034,418;7137,517;7702,081;8610,437;9672,296;10807,874
Germany;Solar photovoltaic;114,000;195,000;260,000;435,000;1105,000;2056,000;2899,000;4170,000;6120,000;10564,000;18004,000;25914,000;34075,000;36708,000;37898,000;39222,000;40677,000;42291,000;45156,000;48912,000
Greece;Solar photovoltaic;0,000;1,000;1,000;1,000;1,000;1,000;5,000;9,000;12,000;46,000;202,000;612,000;1536,000;2579,000;2596,000;2604,000;2604,000;2605,530;2651,570;2833,794
Hungary;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,400;1,000;1,000;2,000;4,000;12,000;35,000;89,000;172,000;235,000;344,000;728,000;1400,000
Ireland;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,617;0,693;0,789;0,940;1,017;1,629;2,352;5,927;17,135;31,972;57,478
Italy;Solar photovoltaic;19,000;20,000;22,000;26,000;31,000;34,000;45,000;110,000;483,000;1264,000;3592,000;13131,000;16785,000;18185,000;18594,000;18901,000;19283,000;19682,293;20107,589;20865,275
Latvia;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,690;0,690;1,962;3,302
Lithuania;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,100;0,100;0,100;0,300;7,000;68,000;69,000;69,000;70,000;73,751;82,000;103,000
Luxembourg;Solar photovoltaic;0,000;0,160;1,593;14,170;23,561;23,583;23,696;23,934;24,562;26,357;29,451;40,666;74,654;95,021;109,933;116,272;121,896;128,103;130,624;159,736
Malta;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,100;0,100;0,100;0,200;0,900;0,800;5,300;15,700;28,500;54,600;74,800;93,600;111,763;131,890;155,187
Netherlands;Solar photovoltaic;13,000;21,000;26,000;46,000;50,000;51,000;53,000;54,000;59,000;69,000;90,000;149,000;287,000;650,000;1007,000;1526,259;2135,021;2910,892;4608,000;7226,000
Poland;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,110;1,300;2,393;27,150;107,777;187,247;287,091;561,976;1539,259
Portugal;Solar photovoltaic;1,000;1,000;1,000;2,000;2,000;2,000;3,000;24,000;59,000;115,000;134,000;172,000;238,000;296,000;415,000;447,000;512,824;579,236;667,431;901,438
Romania;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,100;0,100;0,100;1,000;41,000;761,000;1293,000;1326,000;1372,000;1374,129;1385,820;1397,705
Slovakia;Solar photovoltaic;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;19,000;496,000;513,000;533,000;533,000;533,000;533,000;528,000;472,000;590,000
Slovenia;Solar photovoltaic;1,000;1,000;0,001;0,001;0,003;0,047;0,194;0,586;1,000;4,000;12,000;57,000;142,000;187,000;223,000;238,000;233,000;246,800;246,800;277,877
Spain;Solar photovoltaic;10,000;13,000;17,000;22,000;33,000;52,000;130,000;494,000;3384,000;3423,000;3873,000;4283,000;4569,000;4690,000;4697,000;4704,000;4713,000;4723,000;4763,607;8807,197
Sweden;Solar photovoltaic;3,000;3,000;3,000;4,000;4,000;4,000;5,000;6,000;8,000;9,000;11,000;12,000;24,000;43,000;60,000;104,000;153,000;244,000;428,000;714,000
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;