Year;Annual average
1978;9,984
1979;9,418
1980;9,376
1981;9,126
1982;9,504
1983;9,408
1984;9,001
1985;9,085
1986;9,275
1987;9,967
1988;9,889
1989;9,913
1990;9,645
1991;9,722
1992;10,086
1993;9,786
1994;9,968
1995;9,403
1996;9,791
1997;9,593
1998;9,601
1999;9,672
2000;9,445
2001;9,545
2002;9,332
2003;9,265
2004;9,356
2005;8,998
2006;8,779
2007;8,434
2008;9,221
2009;9,21
2010;8,955
2011;8,749
2012;8,65
2013;9,215
2014;9,085
2015;8,895
2016;8,311
2017;8,684
2018;8,732
2019;8,563
2020;8,475
2021;8,846
2022;8,939
2023;8,587